I can offer you %d %s of %s for %d %s of %s.	%s %d %s을 %s %d %s에 드립니다.
You have received quite a bargain.  I expect to make no profit on the deal.  Can I interest you in any of my other wares?	좋은 거래였습니다. 이득은 없습니다. 다른 물건도 보시겠습니까?
Please inspect our fine wares.  If you feel like offering a trade, click on the items you wish to trade with and for.	좋은 물건을 살펴보고 바꿀 물건을 고르십시오.
  Press 'CANCEL' to abort.	취소로 끝내십시오.
Are you sure you want to dismiss this Hero?	이 영웅을 해산하시겠습니까?
You may learn either %s %s or %s %s.	%s %s나 %s %s을 배울 수 있습니다.
From the observation tower, you are able to see distant lands.	관측탑에서 먼 곳을 볼 수 있습니다.
 All of the %s, %s and %s you have in your army have been trained by the battle masters of the fort.  Your army now contains %s, %s, and %s.	요새 교관이 %s, %s, %s을 훈련했습니다. 이제 %s, %s, %s입니다.
All of the %s and %s you have in your army have been trained by the battle masters of the fort.  Your army now contains %s and %s.	요새 교관이 %s와 %s을 훈련했습니다. 이제 %s와 %s입니다.
All of the %s you have in your army have been trained by the battle masters of the fort.  Your army now contains %s.	요새 교관이 %s을 훈련했습니다. 이제 %s입니다.
An unusual alliance of Orcs, Ogres, and Dwarves offer to train (upgrade) any such troops brought to them.  Unfortunately, you have none with you.	오크, 오우거, 드워프 동맹이 훈련을 제안하지만 해당 부대가 없습니다.
All of your  %s, %s and %s have been upgraded into %s, %s, and %s.	모든 %s, %s, %s이 %s, %s, %s로 업그레이드되었습니다.
All of your %s and %s have been upgraded into %s and %s.	모든 %s와 %s이 %s와 %s로 업그레이드되었습니다.
All of your %s have been upgraded into %s.	모든 %s이 %s로 업그레이드되었습니다.
A blacksmith working at the foundry offers to convert all Pikemen and Swordsmen's weapons brought to him from iron to steel. He also says that he knows a process that will convert Iron Golems into Steel Golems.  Unfortunately, you have none of these troops in your army, so he can't help you.	대장장이가 창병, 검사, 골렘을 강철로 바꿔주지만 해당 부대가 없습니다.
After spending hours trying to fish the chest out of the sea, you open it, only to find it empty.	바다 상자를 건져 열었지만 비었습니다.
You search through the flotsam, but find nothing.	표류물을 뒤졌지만 아무것도 없습니다.
You search through the flotsam, and find some wood.	표류물을 뒤져 목재를 찾았습니다.
You approach the hut and observe a witch inside studying an ancient tome on %s.  As you approach, she turns and focuses her one glass eye on you.  "You already know everything you deserve to learn!" the witch screeches. "NOW GET OUT OF MY HOUSE!"	마녀가 %s 고서를 보다가 외칩니다. 이미 배울 것은 모두 배웠습니다. 나가십시오!
A second drink at the well in one day will not help you.	하루에 두 번 우물을 마셔도 도움이 없습니다.
It doesn't help to pray twice before a battle.  Come back after you've fought.	전투 전 두 번 기도해도 도움이 없습니다. 싸운 뒤 오십시오.
You come across an old wagon left by a trader who didn't quite make it to safe terrain.  Unfortunately, others have found it first, and the wagon is empty.	낡은 수레를 찾았지만 이미 비었습니다.
You come across an old wagon left by a trader who didn't quite make it to safe terrain.  Searching inside, you find the '%s'.	낡은 수레 안에서 '%s'을 찾았습니다.
You come across an old wagon left by a trader who didn't quite make it to safe terrain.  Inside, you find some of the wagon's cargo still intact.	낡은 수레 안에서 남은 물자를 찾았습니다.
Unfortunately, you do not have the wisdom to understand the spell, and you are unable to learn it.  	지혜가 부족해 주문을 배울 수 없습니다.  
You try to pay the leprechaun, but realize that you can't afford it.  The leprechaun stamps his foot and ignores you.	돈이 부족해 요정과 거래할 수 없습니다. 요정이 무시합니다.
Insulted by your refusal of his generous offer, the leprechaun stamps his foot and ignores you.	제안을 받지 않자 요정이 화를 내며 무시합니다.
Upon defeating the monsters, you decipher an ancient glyph on the wall, telling the secret of the spell - 	괴물을 물리치자 벽의 룬이 주문의 비밀을 알려 줍니다 - 
As you enter the Alchemist's Tower, a hobbled, graying man in a brown cloak makes his way towards you.  He checks your pack, and sees that you have 1 cursed item.  For 750 gold, the alchemist will remove it for you.  Do you pay?	탑의 술사가 저주 유물 1개를 금 750에 지워 주겠다고 합니다. 내시겠습니까?
As you enter the Alchemist's Tower, a hobbled, graying man in a brown cloak makes his way towards you.  He checks your pack, and sees that you have %d cursed items.  For 750 gold,  the alchemist will remove them for you.  Do you pay?	탑의 술사가 저주 유물 %d개를 금 750에 지워 주겠다고 합니다. 내시겠습니까?
